wordform;lemma_gold;lemma_pymorphy;match;pos_gold;pos_pymorphy;match;tag_gold;tag_pymorphy;tag_original;match;nom;nom_match;gen;gen_match;dat;dat_match;acc;acc_match;ins;ins_match;loc;loc_match;gen2;gen2_match;loc2;loc2_match;voc;voc2_match;sg;sg_match;pl;pl_match;f;f_match;m;m_match;n;n_match;m-f;mf_match;anim;anim_match;inan;inan_match;a1m;a1m_match;distort;dist_match;anum;anum_match;abbr;abbr_match;indic;indic_match;imper;imper_match;inf;inf_match;ger;ger_match;praes;praes_match;praet;praet_match;1p;1p_match;2p;2p_match;3p;3p_match;pf;pf_match;ipf;ipf_match;inf;inf_match;act;act_match;pass;pass_match;tran;tran_match;intr;intr_match;brev;brev_match;plen;pren_match;supr;supr_match;comp;comp_match
Хорошо;хорошо;хорошо;1;ADV;ADV;1;ADV;ADV,Prdx;ADVB,Prdx;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;1
ли;ли;ли;1;PART;PART;1;PART;PART;PRCL;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;1;NA;NA;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
вы;вы;вы;1;S-PRO;S-PRO;1;S-PRO,pl,2p,nom;S-PRO,2p,pl,nom;NPRO,2per plur,nomn;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;1;0;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
спали;спать;спасть;0;V;V;1;V,ipf,intr,act,pl,praet,indic;V,pf,intr,pl,praet,indic;VERB,perf,intr plur,past,indc;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;1;1;0;1;0;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1;0;1;0;1;0;1;1;1;0;1;0;1;0;1;1;0;0;0;0;1;0;0;0;1;0;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA
спрашивает;спрашивать;спрашивать;1;V;V;1;V,ipf,tran,sg,act,praes,3p,indic;V,ipf,tran,sg,3p,praes,indic;VERB,impf,tran sing,3per,pres,indc;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1;0;1;0;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1;0;1;0;1;1;1;0;1;0;1;0;1;1;0;0;1;1;1;0;1;0;0;0;1;1;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA
хозяин;хозяин;хозяин;1;S;S;1;S,m,anim,sg,nom;S,anim,m,sg,nom;NOUN,anim,masc sing,nomn;1;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;1;1;0;1;0;1;1;1;0;1;0;1;1;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
гостиницы;гостиница;гостиница;1;S;S;1;S,f,inan,sg,gen;S,inan,f,sg,gen;NOUN,inan,femn sing,gent;1;0;1;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;1;1;0;1;1;1;0;1;0;1;0;1;0;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Пожалуйста;пожалуйста;пожалуйста;1;PART;PART;1;PART;PART;PRCL;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;1;NA;NA;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Пожалуйста;пожалуйста;пожалуйста;1;PART;PART;1;PART;PART;PRCL;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;1;NA;NA;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
получите;получить;получить;1;V;V;1;V,pf,tran,pl,act,2p,imper;V,pf,tran,pl,2p,fut,indic;VERB,perf,tran plur,2per,futr,indc;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;1;1;0;1;0;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;1;0;1;0;1;0;1;0;1;1;0;0;1;1;1;0;1;0;1;0;0;0;1;1;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA
Ни;ни;ни;1;PART;PART;1;PART;PART;PRCL;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;1;NA;NA;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
в;в;в;1;PR;PR;1;PR;PR;PREP;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;1;NA;NA;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
коем;кой;кой;1;A-PRO;A-PRO;1;A-PRO,m,sg,loc;A,plen,A-PRO,m,sg,loc;ADJF,Apro masc,sing,loct;0;0;1;0;1;0;1;0;1;0;1;1;1;0;1;0;1;0;1;1;1;0;1;0;1;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;1;0;0;1;0;1
случае;случай;случай;1;S;S;1;S,m,inan,sg,loc;S,inan,m,sg,loc;NOUN,inan,masc sing,loct;1;0;1;0;1;0;1;0;1;0;1;1;1;0;1;0;1;0;1;1;1;0;1;0;1;1;1;0;1;0;1;0;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
мсьё;мсье;мсьё;0;S;S;1;S,m,anim,0,sg,nom;S,anim,m,0,sg,nom;NOUN,anim,masc,Fixd sing,nomn;1;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;1;1;0;1;0;1;1;1;0;1;0;1;1;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Та;тот;тот;1;A-PRO;A-PRO;1;A-PRO,f,sg,nom;A,plen,A-PRO,Subx,Anph,f,sg,nom;ADJF,Apro,Subx,Anph femn,sing,nomn;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;1;1;0;1;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;1;0;0;1;0;1
что;что;что;1;S-PRO;CONJ;0;S-PRO,n,sg,nom;CONJ;CONJ;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;1;NA;NA;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
поменьше;маленький;маленький;1;A;;0;A,comp2;comp,comp2;COMP,Qual Cmp2;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;1;0
не;не;не;1;PART;PART;1;PART;PART;PRCL;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;1;NA;NA;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
пропускает;пропускать;пропускать;1;V;V;1;V,ipf,tran,sg,act,praes,3p,indic;V,ipf,tran,sg,3p,praes,indic;VERB,impf,tran sing,3per,pres,indc;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1;0;1;0;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1;0;1;0;1;1;1;0;1;0;1;0;1;1;0;0;1;1;1;0;1;0;0;0;1;1;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA
"<ana lex=""комар"" gr=""S,m,anim=pl,acc""></ana>комаров";комар;"<ana lex=""комар"" gr=""s,m,anim=pl,acc""></ana>комар";0;S;S;1;S,m,anim,pl,gen;S,anim,m,persn,pl,gen;NOUN,anim,masc,Name plur,gent;0;0;1;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;1;1;0;1;1;1;0;1;0;1;1;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
а;а;а;1;CONJ;CONJ;1;CONJ;CONJ;CONJ;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;1;NA;NA;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
та;тот;тот;1;A-PRO;A-PRO;1;A-PRO,f,sg,nom;A,plen,A-PRO,Subx,Anph,f,sg,nom;ADJF,Apro,Subx,Anph femn,sing,nomn;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;1;1;0;1;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;1;0;0;1;0;1
что;что;что;1;S-PRO;CONJ;0;S-PRO,n,sg,nom;CONJ;CONJ;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;1;NA;NA;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
с;с;с;1;PR;PR;1;PR;PR;PREP;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;1;NA;NA;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
большими;большой;больший;0;A;A;1;A,pl,ins,plen;A,plen,pl,ins;ADJF plur,ablt;1;0;1;0;1;0;1;0;1;1;1;0;1;0;1;0;1;0;1;0;1;1;1;0;1;0;1;0;1;0;1;0;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;1;1;0;1;0;1
ячейками;ячейка;ячейка;1;S;S;1;S,f,inan,pl,ins;S,inan,f,pl,ins;NOUN,inan,femn plur,ablt;1;0;1;0;1;0;1;0;1;1;1;0;1;0;1;0;1;0;1;0;1;1;1;1;1;0;1;0;1;0;1;0;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
не;не;не;1;PART;PART;1;PART;PART;PRCL;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;1;NA;NA;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
пропускает;пропускать;пропускать;1;V;V;1;V,ipf,tran,sg,act,praes,3p,indic;V,ipf,tran,sg,3p,praes,indic;VERB,impf,tran sing,3per,pres,indc;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1;0;1;0;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1;0;1;0;1;1;1;0;1;0;1;0;1;1;0;0;1;1;1;0;1;0;0;0;1;1;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA
"<ana lex=""муха"" gr=""S,f,anim=pl,acc""></ana>мух";муха;"<ana lex=""муха"" gr=""s,f,anim=pl,acc""></ana>муха";0;S;S;1;S,f,anim,pl,gen;S,inan,f,pl,gen;NOUN,inan,femn plur,gent;0;0;1;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;1;1;1;1;0;1;0;1;0;1;0;0;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Нет;нет;нет;1;PART;PRAEDIC;0;PART;PRAEDIC,praes;PRED,pres;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;1;NA;NA;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
И;и;и;1;CONJ;CONJ;1;CONJ;CONJ;CONJ;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;1;NA;NA;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
он;он;он;1;S-PRO;S-PRO;1;S-PRO,m,sg,3p,nom;S-PRO,m,3p,Anph,sg,nom;NPRO,masc,3per,Anph sing,nomn;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;1;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
всё;всё;весь;0;ADV;A-PRO;0;ADV;A,plen,A-PRO,n,sg,nom;ADJF,Apro neut,sing,nomn;0;1;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;1;0;0;1;0;1;0;1;1;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;1;0;0;1;0;1
ещё;еще;ещё;0;ADV;ADV;1;ADV;ADV;ADVB;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;1
продолжает;продолжать;продолжать;1;V;V;1;V,ipf,tran,sg,act,praes,3p,indic;V,ipf,tran,sg,3p,praes,indic;VERB,impf,tran sing,3per,pres,indc;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1;0;1;0;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1;0;1;0;1;1;1;0;1;0;1;0;1;1;0;0;1;1;1;0;1;0;0;0;1;1;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA
петь;петь;петь;1;V;V;1;V,ipf,tran,inf,act;V,inf,ipf,tran;INFN,impf,tran;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;1;0;1;0;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;1;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;1;1;1;1;0;0;0;1;1;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA
